iShares Core S&P Small-Cap ETF
Fund Holdings as of,"Jan 05, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"731,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"GPI","GROUP AUTOMOTIVE INC","EQUITY","Consumer Discretionary","Equity","290,803,601.02","290,803,601.02","734,093.00","396.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"CZR","CAESARS ENTERTAINMENT INC","EQUITY","Consumer Discretionary","Equity","289,009,308.32","289,009,308.32","12,112,712.00","23.86","United States","NASDAQ","USD","1.00","USD","-","0.32","0.32"
"FORM","FORMFACTOR INC","EQUITY","Information Technology","Equity","288,387,603.73","288,387,603.73","4,600,217.00","62.69","United States","NASDAQ","USD","1.00","USD","-","0.32","0.32"
"ABCB","AMERIS BANCORP","EQUITY","Financials","Equity","287,575,414.24","287,575,414.24","3,795,874.00","75.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"AMTM","AMENTUM HOLDINGS INC","EQUITY","Industrials","Equity","286,021,249.92","286,021,249.92","9,097,368.00","31.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"MAC","MACERICH REIT","EQUITY","Real Estate","Equity","284,225,526.20","284,225,526.20","15,199,226.00","18.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.32","0.32"
"SKY","CHAMPION HOMES INC","EQUITY","Consumer Discretionary","Equity","283,090,068.80","283,090,068.80","3,314,872.00","85.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"PI","IMPINJ INC","EQUITY","Information Technology","Equity","281,125,809.24","281,125,809.24","1,590,258.00","176.78","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"ACIW","ACI WORLDWIDE INC","EQUITY","Information Technology","Equity","280,986,787.74","280,986,787.74","6,117,718.00","45.93","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"SNEX","STONEX GROUP INC","EQUITY","Financials","Equity","280,057,624.17","280,057,624.17","2,755,659.00","101.63","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"MTH","MERITAGE CORP","EQUITY","Consumer Discretionary","Equity","279,401,382.99","279,401,382.99","4,178,277.00","66.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"NPO","ENPRO INC","EQUITY","Industrials","Equity","277,784,218.80","277,784,218.80","1,250,154.00","222.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"ECG","EVERUS CONSTRUCTION GROUP INC","EQUITY","Industrials","Equity","277,544,804.79","277,544,804.79","3,026,991.00","91.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"ABG","ASBURY AUTOMOTIVE GROUP INC","EQUITY","Consumer Discretionary","Equity","277,111,766.61","277,111,766.61","1,153,719.00","240.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"CE","CELANESE CORP","EQUITY","Materials","Equity","276,707,535.14","276,707,535.14","6,498,533.00","42.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.31","0.31"
"CVCO","CAVCO INDUSTRIES INC","EQUITY","Consumer Discretionary","Equity","275,192,104.05","275,192,104.05","463,185.00","594.13","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"AROC","ARCHROCK INC","EQUITY","Energy","Equity","274,855,895.06","274,855,895.06","10,407,266.00","26.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.31"
"ALKS","ALKERMES","EQUITY","Health Care","Equity","274,368,220.00","274,368,220.00","9,798,865.00","28.00","United States","NASDAQ","USD","1.00","USD","-","0.30","0.31"
"MSGS","MADISON SQUARE GARDEN SPORTS CORP","EQUITY","Communication","Equity","272,061,342.00","272,061,342.00","1,066,280.00","255.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
"JXN","JACKSON FINANCIAL INC CLASS A","SWAP","Financials","Equity","0.00","270,721,163.97","2,467,607.00","109.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","-"
"MRP","MILLROSE PROPERTIES INC CLASS A","EQUITY","Real Estate","Equity","269,101,235.31","269,101,235.31","9,149,991.00","29.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
