ticker,weight
SCSC,4.0752e-2
SDGR,5.282e-3
SEDG,1.5723e-2
SEE,0.126136
SEM,9.0794e-2
SEZL,6.1e-3
SFBS,6.6307e-2
SFNC,0.116786
SG9999014716,2.117e-3
SHAK,1.5527e-2
SHEN,1.2218e-2
SHO,3.4878e-2
SHOO,5.2469e-2
SIG,9.6633e-2
SITM,1.1057e-2
SKT,2.531e-2
SKY,6.2574e-2
SKYW,2.1032e-2
SLG,4.0866e-2
SLVM,6.7657e-2
SM,0.206392
SMP,2.1909e-2
SMTC,1.2377e-2
SNDR,4.7394e-2
SNEX,6.5889e-2
SOLS,0.147278
SONO,1.9807e-2
SPNT,4.9623e-2
SPSC,2.4933e-2
SRPT,2.6316e-2
SSTK,1.6186e-2
STAA,4.448e-3
STEL,5.122e-2
STEP,6.305e-3
STRA,4.0242e-2
SUPN,2.7745e-2
SXC,3.9712e-2
SXI,2.3902e-2
SXT,3.353e-2
TALO,7.023e-2
TBBK,4.5782e-2
TDC,2.6502e-2
TDS,0.109091
TDW,1.0062e-2
TFIN,2.8791e-2
TFX,0.134845
TGNA,0.115663
TGTX,4.812e-3
THRM,2.5614e-2
THS,5.0538e-2
TILE,2.5202e-2
TMDX,6.739e-3
TMP,2.4021e-2
TNC,2.542e-2
TNDM,9.444e-3
TPH,0.11779
TR,5.649e-3
TRIP,1.9873e-2
TRMK,5.9804e-2
TRN,4.8347e-2
TRNO,6.5565e-2
TRUP,1.0394e-2
TTMI,4.5237e-2
TWO,3.4162e-2
UAA,7.6398e-2
UCB,0.117308
UCTT,3.2622e-2
UE,3.7677e-2
UFCS,2.0938e-2
UFPT,1.0687e-2
UNF,5.9284e-2
UNFI,0.209067
UNIT,2.4859e-2
UPBD,5.2408e-2
UPWK,2.1688e-2
URBN,8.2112e-2
US0003602069,2.3835e-2
US00090Q1031,0.130224
US00091G1040,1.2109e-2
US0010841023,0.208057
US00123Q1040,0.16806
US00130H1059,0.321709
US00165C3025,1.8176e-2
US0017441017,5.9721e-2
US00181T1079,9.2636e-2
US00187Y1001,8.1589e-2
US00191U1025,8.5774e-2
US00217D1000,1.2151e-2
US00218A1051,1.359e-3
US00258Y1047,2.098e-3
US0028962076,0.147572
US00436Q1067,1.4194e-2
US00486H1059,1.1119e-2
US00508Y1029,0.115697
US00510N1028,5.0859e-2
US00650F1093,3.604e-3
US00760J1088,3.389e-3
US00773J2024,5.201e-3
US00773T1016,3.4163e-2
US00790R1041,0.100016
US0080731088,3.3716e-2
US0082521081,0.160785
US00835Q2021,1.154e-3
US00847X1046,8.782e-3
US0084921008,9.0533e-2
US00971T1016,0.160258
US00972D1054,2.673e-3
US0116591092,6.0542e-2
US0126531013,0.405459
US0130911037,0.522014
US0138721065,0.300321
US0144911049,2.505e-2
US0147521092,5.209e-3
US0162551016,0.133299
US01625V1044,1.6444e-2
US01626W1018,4.341e-2
US01644J1088,4.078e-3
US01741R1023,0.114575
US01749D1054,2.3556e-2
US0193301092,9.437e-3
US01973R1014,0.144657
US02005N1000,0.423274
US0207641061,0.138204
US02081G2012,2.124e-3
US02156K1034,7.3812e-2
US0226711010,2.0585e-2
US0235761014,2.1296e-2
US0235861004,1.0863e-2
US0235865062,0.127179
US02361E1082,1.8699e-2
US02376R1023,0.174418
US02451V3096,1.996e-3
US0301112076,3.508e-3
US03064D1081,8.9278e-2
US03152W1099,5.837e-3
US0316521006,0.123938
US03168L1052,1.4651e-2
US03213A1043,2.98e-3
US03214Q1085,1.37e-3
US03237H1014,2.148e-3
US0327241065,1.132e-3
US0327973006,1.121e-3
US03674X1063,0.214567
US03676B1026,5.892e-2
US03743Q1085,0.476424
